Density,variable,value
34.68,Glaucoma,0.0044477269438180644
35.19,Glaucoma,0.004420298689906518
35.7,Glaucoma,0.004397684862661466
36.21,Glaucoma,0.004379631267203381
36.72,Glaucoma,0.004365929852150715
37.23,Glaucoma,0.0043564372980024755
37.74,Glaucoma,0.004351082249277753
38.25,Glaucoma,0.00434986006613154
38.76,Glaucoma,0.004352815504283673
39.27,Glaucoma,0.004360015159867518
39.78,Glaucoma,0.004371512675889759
40.29,Glaucoma,0.004387310482046712
40.8,Glaucoma,0.00440732217770672
41.31,Glaucoma,0.004431339580957537
41.82,Glaucoma,0.004459008005524424
42.33,Glaucoma,0.004489812592890307
42.84,Glaucoma,0.004523077601475222
43.35,Glaucoma,0.004557979536391669
43.86,Glaucoma,0.00459357394392997
44.37,Glaucoma,0.004628834648855917
44.88,Glaucoma,0.004662703199529504
45.39,Glaucoma,0.004694145368216462
45.9,Glaucoma,0.004722210777085308
46.41,Glaucoma,0.004746091188904047
46.92,Glaucoma,0.004765172800483006
47.43,Glaucoma,0.00477907809927989
47.94,Glaucoma,0.0047876935192149896
48.45,Glaucoma,0.004791180238192894
48.96,Glaucoma,0.004789966886266515
49.47,Glaucoma,0.004784724510498598
49.98,Glaucoma,0.00477632566745598
50.49,Glaucoma,0.004765790786480443
51.0,Glaucoma,0.00475422581791566
51.51,Glaucoma,0.004742755578621322
52.02,Glaucoma,0.0047324571467594915
52.53,Glaucoma,0.0047242972315502
53.04,Glaucoma,0.004719076791452677
53.55,Glaucoma,0.004717385443070941
54.06,Glaucoma,0.004719567512928476
54.57,Glaucoma,0.004725701000885456
55.08,Glaucoma,0.004735590248547034
55.59,Glaucoma,0.004748772691538529
56.1,Glaucoma,0.004764539647771956
56.61,Glaucoma,0.00478197058350955
57.12,Glaucoma,0.004799979671701059
57.63,Glaucoma,0.0048173727261946716
58.14,Glaucoma,0.004832911815079581
58.65,Glaucoma,0.004845384129106666
59.16,Glaucoma,0.00485367110091618
59.67,Glaucoma,0.004856813440839461
60.18,Glaucoma,0.0048540677301610905
60.69,Glaucoma,0.004844950535137465
61.2,Glaucoma,0.004829266663339554
61.71,Glaucoma,0.004807119160849666
62.22,Glaucoma,0.004778899884573595
62.73,Glaucoma,0.004745260919534374
63.24,Glaucoma,0.004707068631889399
63.75,Glaucoma,0.004665343650190186
64.26,Glaucoma,0.004621191378352024
64.77,Glaucoma,0.004575728613081166
65.28,Glaucoma,0.004530012306329142
65.79,Glaucoma,0.00448497636780167
66.3,Glaucoma,0.00444138160343079
66.81,Glaucoma,0.0043997824879024915
67.32,Glaucoma,0.004360512623836847
67.83,Glaucoma,0.004323688687861139
68.34,Glaucoma,0.004289230689708895
68.85,Glaucoma,0.004256894765171419
69.36,Glaucoma,0.004226313721769947
69.87,Glaucoma,0.004197040290105362
70.38,Glaucoma,0.004168588512084077
70.89,Glaucoma,0.0041404697833111554
71.4,Glaucoma,0.00411222152249042
71.91,Glaucoma,0.004083427962695792
72.42,Glaucoma,0.004053733845059311
72.93,Glaucoma,0.004022852622125859
73.44,Glaucoma,0.003990571030431869
73.95,Glaucoma,0.003956751604934186
74.46,Glaucoma,0.003921334040256312
74.97,Glaucoma,0.0038843354921481886
75.48,Glaucoma,0.0038458492144030684
75.99,Glaucoma,0.003806040543968503
76.5,Glaucoma,0.0037651392842260184
77.01,Glaucoma,0.00372342797280896
77.52,Glaucoma,0.003681226229247823
78.03,Glaucoma,0.0036388721720087415
78.54,Glaucoma,0.00359670255517882
79.05,Glaucoma,0.003555033655984591
79.56,Glaucoma,0.0035141449445050955
80.07,Glaucoma,0.0034742672020012027
80.58,Glaucoma,0.0034355761070540207
81.09,Glaucoma,0.0033981915195293766
81.6,Glaucoma,0.003362181916241158
82.11,Glaucoma,0.00332757280076323
82.62,Glaucoma,0.0032943575207033133
83.13,Glaucoma,0.0032625088069671623
83.64,Glaucoma,0.0032319894866044583
84.15,Glaucoma,0.00320276115343926
84.66,Glaucoma,0.0031747900217233022
85.17,Glaucoma,0.0031480496532987692
85.68,Glaucoma,0.0031225206637232536
86.19,Glaucoma,0.003098187830025989
86.7,Glaucoma,0.0030750352312421407
87.21,Glaucoma,0.0030530401624934574
87.72,Glaucoma,0.0030321666086907104
88.23,Glaucoma,0.003012359080150909
88.74,Glaucoma,0.0029935376175621777
89.25,Glaucoma,0.00297559476979703
89.76,Glaucoma,0.0029583953087096845
90.27,Glaucoma,0.002941779325373701
90.78,Glaucoma,0.002925569116608656
91.29,Glaucoma,0.0029095798970213142
91.8,Glaucoma,0.0028936338764871112
92.31,Glaucoma,0.0028775766886142227
92.82,Glaucoma,0.00286129462953889
93.33,Glaucoma,0.0028447307798631716
93.84,Glaucoma,0.002827897927726069
94.35,Glaucoma,0.0028108863490492915
94.86,Glaucoma,0.0027938649398553663
95.37,Glaucoma,0.0027770748893712403
95.88,Glaucoma,0.0027608159326812966
96.39,Glaucoma,0.0027454261133453874
96.9,Glaucoma,0.0027312567828107863
